id,cltv
89393,93832.81876
89394,123379.1713
89395,93832.81876
89396,93832.81876
89397,130315.1487
89398,112399.8487
89399,47603.8499
89400,93832.81876
89401,47603.8499
89402,151838.1986
89403,151838.1986
89404,93832.81876
89405,51156.17603
89406,51156.17603
89407,51156.17603
89408,130315.1487
89409,127531.3613
89410,127531.3613
89411,108083.6335
89412,123379.1713
89413,153235.3284
89414,51156.17603
89415,51156.17603
89416,112399.8487
89417,153235.3284
89418,108083.6335
89419,51156.17603
89420,127531.3613
89421,130315.1487
89422,127531.3613
89423,153235.3284
89424,47603.8499
89425,127531.3613
89426,127531.3613
89427,123379.1713
89428,108083.6335
89429,112399.8487
89430,61261.4673
89431,127531.3613
89432,127531.3613
89433,51156.17603
89434,51156.17603
89435,51156.17603
89436,93832.81876
89437,51156.17603
89438,127531.3613
89439,51156.17603
89440,127531.3613
89441,127531.3613
89442,61261.4673
89443,127531.3613
89444,61261.4673
89445,108083.6335
89446,108083.6335
89447,123379.1713
89448,127531.3613
89449,153235.3284
89450,127531.3613
89451,127531.3613
89452,127531.3613
89453,127531.3613
89454,153235.3284
89455,112399.8487
89456,127531.3613
89457,93832.81876
89458,153235.3284
89459,108083.6335
89460,127531.3613
89461,108083.6335
89462,108083.6335
89463,112399.8487
89464,153235.3284
89465,151838.1986
89466,51156.17603
89467,112399.8487
89468,47603.8499
89469,108083.6335
89470,47603.8499
89471,153235.3284
89472,112399.8487
89473,123379.1713
89474,123379.1713
89475,93832.81876
89476,153235.3284
89477,51156.17603
89478,153235.3284
89479,123379.1713
89480,108083.6335
89481,51156.17603
89482,47603.8499
89483,112399.8487
89484,51156.17603
89485,123379.1713
89486,127531.3613
89487,127531.3613
89488,93832.81876
89489,51156.17603
89490,93832.81876
89491,108083.6335
89492,108083.6335
89493,47603.8499
89494,51156.17603
89495,127531.3613
89496,93832.81876
89497,127531.3613
89498,93832.81876
89499,51156.17603
89500,112399.8487
89501,61261.4673
89502,47603.8499
89503,153235.3284
89504,153235.3284
89505,93832.81876
89506,51156.17603
89507,112399.8487
89508,108083.6335
89509,130315.1487
89510,51156.17603
89511,112399.8487
89512,153235.3284
89513,112399.8487
89514,127531.3613
89515,108083.6335
89516,47603.8499
89517,93832.81876
89518,51156.17603
89519,153235.3284
89520,51156.17603
89521,112399.8487
89522,51156.17603
89523,51156.17603
89524,51156.17603
89525,108083.6335
89526,61261.4673
89527,51156.17603
89528,123379.1713
89529,112399.8487
89530,123379.1713
89531,153235.3284
89532,47603.8499
89533,61261.4673
89534,108083.6335
89535,112399.8487
89536,112399.8487
89537,127531.3613
89538,127531.3613
89539,130315.1487
89540,51156.17603
89541,127531.3613
89542,93832.81876
89543,51156.17603
89544,108083.6335
89545,51156.17603
89546,153235.3284
89547,108083.6335
89548,127531.3613
89549,108083.6335
89550,51156.17603
89551,123379.1713
89552,93832.81876
89553,127531.3613
89554,51156.17603
89555,51156.17603
89556,112399.8487
89557,112399.8487
89558,127531.3613
89559,112399.8487
89560,51156.17603
89561,127531.3613
89562,127531.3613
89563,93832.81876
89564,127531.3613
89565,93832.81876
89566,127531.3613
89567,108083.6335
89568,153235.3284
89569,93832.81876
89570,127531.3613
89571,112399.8487
89572,51156.17603
89573,47603.8499
89574,51156.17603
89575,153235.3284
89576,153235.3284
89577,47603.8499
89578,93832.81876
89579,153235.3284
89580,123379.1713
89581,127531.3613
89582,47603.8499
89583,123379.1713
89584,108083.6335
89585,51156.17603
89586,51156.17603
89587,51156.17603
89588,47603.8499
89589,51156.17603
89590,130315.1487
89591,153235.3284
89592,108083.6335
89593,153235.3284
89594,127531.3613
89595,112399.8487
89596,108083.6335
89597,51156.17603
89598,123379.1713
89599,123379.1713
89600,112399.8487
89601,123379.1713
89602,130315.1487
89603,112399.8487
89604,151838.1986
89605,93832.81876
89606,153235.3284
89607,108083.6335
89608,123379.1713
89609,108083.6335
89610,93832.81876
89611,108083.6335
89612,153235.3284
89613,112399.8487
89614,51156.17603
89615,93832.81876
89616,151838.1986
89617,47603.8499
89618,93832.81876
89619,51156.17603
89620,93832.81876
89621,153235.3284
89622,108083.6335
89623,108083.6335
89624,153235.3284
89625,51156.17603
89626,108083.6335
89627,47603.8499
89628,51156.17603
89629,153235.3284
89630,112399.8487
